# Muon stopping power in liquid argon (PDG-style table)
# Regenerated from Bethe-Bloch + Sternheimer density effect
# (Z=18, A=39.948, I=188 eV; GMS liquid-argon constants).
# Columns: T_MeV, p_MeV, dedx_MeVcm2g, csda_range_gcm2, beta
1.000000e+00,1.457109e+01,3.421328e+01,0.000000e+00,0.136615
1.049350e+00,1.492804e+01,3.296262e+01,1.469796e-03,0.139897
1.101136e+00,1.529382e+01,3.175524e+01,3.070708e-03,0.143255
1.155478e+00,1.566866e+01,3.058984e+01,4.814565e-03,0.146691
1.212501e+00,1.605278e+01,2.946516e+01,6.714263e-03,0.150207
1.272338e+00,1.644643e+01,2.837996e+01,8.783872e-03,0.153805
1.335128e+00,1.684985e+01,2.733302e+01,1.103873e-02,0.157485
1.401017e+00,1.726329e+01,2.632317e+01,1.349557e-02,0.161250
1.470158e+00,1.768701e+01,2.534922e+01,1.617264e-02,0.165101
1.542711e+00,1.812127e+01,2.441007e+01,1.908983e-02,0.169040
1.618844e+00,1.856635e+01,2.350459e+01,2.226883e-02,0.173069
1.698735e+00,1.902253e+01,2.263171e+01,2.573331e-02,0.177189
1.782568e+00,1.949010e+01,2.179039e+01,2.950905e-02,0.181403
1.870538e+00,1.996935e+01,2.097958e+01,3.362418e-02,0.185711
1.962850e+00,2.046059e+01,2.019831e+01,3.810935e-02,0.190117
2.059717e+00,2.096414e+01,1.944559e+01,4.299798e-02,0.194620
2.161365e+00,2.148032e+01,1.872047e+01,4.832651e-02,0.199224
2.268029e+00,2.200946e+01,1.802205e+01,5.413463e-02,0.203930
2.379957e+00,2.255192e+01,1.734942e+01,6.046564e-02,0.208740
2.497408e+00,2.310803e+01,1.670172e+01,6.736668e-02,0.213655
2.620656e+00,2.367818e+01,1.607810e+01,7.488914e-02,0.218677
2.749986e+00,2.426274e+01,1.547775e+01,8.308902e-02,0.223809
2.885699e+00,2.486210e+01,1.489986e+01,9.202730e-02,0.229051
3.028109e+00,2.547665e+01,1.434366e+01,1.017704e-01,0.234405
3.177547e+00,2.610682e+01,1.380842e+01,1.123908e-01,0.239873
3.334360e+00,2.675302e+01,1.329338e+01,1.239671e-01,0.245457
3.498912e+00,2.741571e+01,1.279787e+01,1.365852e-01,0.251158
3.671585e+00,2.809534e+01,1.232118e+01,1.503385e-01,0.256977
3.852779e+00,2.879237e+01,1.186266e+01,1.653286e-01,0.262917
4.042915e+00,2.950730e+01,1.142168e+01,1.816661e-01,0.268979
4.242434e+00,3.024063e+01,1.099759e+01,1.994714e-01,0.275163
4.451799e+00,3.099287e+01,1.058982e+01,2.188753e-01,0.281471
4.671497e+00,3.176458e+01,1.019777e+01,2.400202e-01,0.287906
4.902037e+00,3.255630e+01,9.820879e+00,2.630609e-01,0.294466
5.143954e+00,3.336861e+01,9.458608e+00,2.881656e-01,0.301154
5.397810e+00,3.420210e+01,9.110426e+00,3.155170e-01,0.307971
5.664193e+00,3.505741e+01,8.775826e+00,3.453139e-01,0.314917
5.943723e+00,3.593517e+01,8.454315e+00,3.777718e-01,0.321994
6.237048e+00,3.683603e+01,8.145416e+00,4.131249e-01,0.329201
6.544848e+00,3.776071e+01,7.848669e+00,4.516274e-01,0.336539
6.867839e+00,3.870990e+01,7.563631e+00,4.935551e-01,0.344008
7.206769e+00,3.968436e+01,7.289873e+00,5.392070e-01,0.351609
7.562425e+00,4.068485e+01,7.026979e+00,5.889073e-01,0.359341
7.935633e+00,4.171219e+01,6.774549e+00,6.430076e-01,0.367204
8.327259e+00,4.276719e+01,6.532197e+00,7.018884e-01,0.375198
8.738212e+00,4.385074e+01,6.299550e+00,7.659620e-01,0.383322
9.169446e+00,4.496372e+01,6.076249e+00,8.356745e-01,0.391575
9.621961e+00,4.610709e+01,5.861945e+00,9.115086e-01,0.399956
1.009681e+01,4.728182e+01,5.656305e+00,9.939861e-01,0.408464
1.059509e+01,4.848892e+01,5.459004e+00,1.083671e+00,0.417097
1.111796e+01,4.972947e+01,5.269732e+00,1.181173e+00,0.425852
1.166663e+01,5.100457e+01,5.088188e+00,1.287148e+00,0.434729
1.224239e+01,5.231537e+01,4.914083e+00,1.402307e+00,0.443724
1.284655e+01,5.366308e+01,4.747138e+00,1.527415e+00,0.452834
1.348053e+01,5.504896e+01,4.587083e+00,1.663295e+00,0.462057
1.414580e+01,5.647432e+01,4.433661e+00,1.810835e+00,0.471389
1.484390e+01,5.794055e+01,4.286620e+00,1.970991e+00,0.480825
1.557645e+01,5.944907e+01,4.145721e+00,2.144787e+00,0.490363
1.634516e+01,6.100139e+01,4.010733e+00,2.333328e+00,0.499997
1.715180e+01,6.259909e+01,3.881433e+00,2.537798e+00,0.509722
1.799824e+01,6.424381e+01,3.757605e+00,2.759467e+00,0.519534
1.888646e+01,6.593728e+01,3.639045e+00,2.999697e+00,0.529426
1.981852e+01,6.768130e+01,3.525552e+00,3.259945e+00,0.539393
2.079657e+01,6.947777e+01,3.416936e+00,3.541772e+00,0.549427
2.182288e+01,7.132867e+01,3.313013e+00,3.846845e+00,0.559523
2.289985e+01,7.323609e+01,3.213606e+00,4.176944e+00,0.569673
2.402996e+01,7.520222e+01,3.118544e+00,4.533970e+00,0.579869
2.521585e+01,7.722934e+01,3.027664e+00,4.919946e+00,0.590104
